date,o,h,l,c,symbol,tRange,ema50,ema25,ema9,ema4,min6,e50streak_under,e50streak_over,decision_number,type1
2019-07-16,245.025,245.075,243.475,243.725,FC,1.6,243.9033,241.996,243.2727,244.0729,243.725,0,5,,
2019-07-17,243.3,243.575,241.575,243.25,FC,2.0,243.8777,242.0924,243.2681,243.7438,243.25,1,0,,enterS2
2019-07-18,243.95,244.05,241.725,242.1,FC,2.325,243.808,242.093,243.0345,243.0863,242.1,2,0,,
2019-07-19,242.1,243.075,241.8,242.65,FC,1.275,243.7626,242.1358,242.9576,242.9118,242.1,3,0,,
2019-07-22,242.775,245.0,242.3,244.85,FC,2.7,243.8052,242.3446,243.3361,243.6871,242.1,4,0,,
2019-07-23,244.675,245.025,243.6,244.875,FC,1.425,243.8472,242.5393,243.6439,244.1622,242.1,0,1,,
2019-07-24,244.575,245.625,244.125,245.5,FC,1.5,243.912,242.767,244.0151,244.6973,242.1,0,2,,
2019-07-25,245.425,246.375,245.05,245.475,FC,1.325,243.9733,242.9753,244.3071,245.0084,242.1,0,3,,
2019-07-26,245.675,246.55,245.1,246.4,FC,1.45,244.0684,243.2388,244.7257,245.565,242.65,0,4,,
2019-07-29,246.4,246.575,244.825,244.975,FC,1.75,244.104,243.3723,244.7755,245.329,244.85,0,5,,
2019-07-30,244.9,246.825,243.825,246.2,FC,3.0,244.1862,243.5898,245.0604,245.6774,244.875,0,6,,
2019-07-31,246.15,246.2,243.525,244.6,FC,2.675,244.2024,243.6675,244.9683,245.2464,244.6,0,7,,enterS3
2019-08-01,244.175,245.525,242.05,243.675,FC,3.475,244.1817,243.6681,244.7097,244.6179,243.675,0,8,,
2019-08-02,243.925,244.025,239.45,240.375,FC,4.575,244.0324,243.4148,243.8427,242.9207,240.375,1,0,,
2019-08-05,240.05,243.625,236.725,241.55,FC,6.9,243.9351,243.2714,243.3842,242.3724,240.375,2,0,,
2019-08-06,241.725,242.775,240.6,241.6,FC,2.175,243.8435,243.1428,243.0274,242.0635,240.375,3,0,,
2019-08-07,241.625,243.1,240.45,241.525,FC,2.65,243.7526,243.0183,242.7269,241.8481,240.375,4,0,,
2019-08-08,241.875,242.925,241.475,242.025,FC,1.45,243.6849,242.9419,242.5865,241.9188,240.375,5,0,,
2019-08-09,241.95,242.025,240.225,240.6,FC,1.8,243.5639,242.7618,242.1892,241.3913,240.375,6,0,,
2019-08-12,236.1,236.1,236.1,236.1,FC,0.0,243.2712,242.2493,240.9714,239.2748,236.1,7,0,,
2019-08-13,234.375,235.775,229.35,229.35,FC,6.425,242.7252,241.2571,238.6471,235.3049,229.35,8,0,,
2019-08-14,230.575,236.1,230.575,235.175,FC,5.525,242.4292,240.7892,237.9527,235.2529,229.35,9,0,,
2019-08-15,235.95,238.4,234.875,235.55,FC,3.525,242.1594,240.3862,237.4721,235.3718,229.35,10,0,,
2019-08-16,236.025,237.075,234.225,234.65,FC,2.85,241.8649,239.945,236.9077,235.0831,229.35,11,0,,
2019-08-19,236.425,237.45,234.825,234.975,FC,2.625,241.5947,239.5627,236.5212,235.0398,229.35,12,0,,
2019-08-20,235.5,237.775,235.05,235.45,FC,2.725,241.3537,239.2463,236.3069,235.2039,229.35,13,0,,
2019-08-21,236.175,237.15,235.3,236.35,FC,1.85,241.1575,239.0235,236.3155,235.6623,234.65,14,0,,enterL3
